target,n_estimators,max_depth,learning_rate,average_mse,average_r2
Y1,10,1,0.1,31.263297058198056,0.6904617124530618
Y1,10,1,0.01,87.4190111820365,0.13370868012866796
Y1,10,1,0.001,100.47272832325449,0.004055444531102936
Y1,10,2,0.1,20.962519685106045,0.792501211625717
Y1,10,2,0.01,85.704840254593,0.15056576024367413
Y1,10,2,0.001,100.28349921323394,0.005913478794046001
Y1,10,3,0.1,16.816221432224314,0.8336007598815499
Y1,10,3,0.01,84.82180697974005,0.15931815995331747
Y1,10,3,0.001,100.19093301107529,0.006829940200710616
Y1,10,5,0.1,14.27968234600193,0.8586942981599426
Y1,10,5,0.01,84.31008013341926,0.16434304260660113
Y1,10,5,0.001,100.13394470125053,0.007389247019550238
Y1,50,1,0.1,7.876925433980622,0.9220345469471123
Y1,50,1,0.01,51.01573858379389,0.49495280093917343
Y1,50,1,0.001,94.40879545664009,0.06428924666667415
Y1,50,2,0.1,1.64404728877803,0.9837511500348983
Y1,50,2,0.01,44.686391245818776,0.5573922218749516
Y1,50,2,0.001,93.50085801199648,0.07321285493517475
Y1,50,3,0.1,0.5638551342781902,0.99442782589126
Y1,50,3,0.01,41.36921225327508,0.5902636504064998
Y1,50,3,0.001,93.05947087632345,0.07758771561439123
Y1,50,5,0.1,0.21582467856478357,0.9978791106629495
Y1,50,5,0.01,39.38578627825774,0.6099134820976756
Y1,50,5,0.001,92.79287126900864,0.080197479618235
Y1,100,1,0.1,4.286217942353965,0.9574718415820389
Y1,100,1,0.01,32.26445521855611,0.680575371351144
Y1,100,1,0.001,87.47847400471278,0.1331181642361965
Y1,100,2,0.1,0.3870855106478127,0.9961814232023289
Y1,100,2,0.01,22.24144363635194,0.7798217728144575
Y1,100,2,0.001,85.7670354178447,0.14995278328044825
Y1,100,3,0.1,0.22950761677625678,0.9977422835953627
Y1,100,3,0.01,18.093072038702708,0.8209374216988135
Y1,100,3,0.001,84.89475129654666,0.1585985597003781
Y1,100,5,0.1,0.14869205521713497,0.9985334129333718
Y1,100,5,0.01,15.548228866559645,0.8461176289150274
Y1,100,5,0.001,84.38584625354915,0.16358914749341563
Y1,500,1,0.1,1.2991607737027604,0.9870761164863684
Y1,500,1,0.01,8.25801567161497,0.918245115035273
Y1,500,1,0.001,51.14951359105685,0.49362671032135486
Y1,500,2,0.1,0.20020784014689558,0.998027257465574
Y1,500,2,0.01,1.6960915898676165,0.9832103676509586
Y1,500,2,0.001,44.8378456803119,0.5558935322757563
Y1,500,3,0.1,0.15020528382760284,0.9985216746080556
Y1,500,3,0.01,0.6285858530666597,0.9937908521822031
Y1,500,3,0.001,41.532272319774364,0.5886446200502162
Y1,500,5,0.1,0.12751606498043105,0.9987265348183986
Y1,500,5,0.01,0.2213296175236878,0.9978246605909724
Y1,500,5,0.001,39.548761712836544,0.6082974097345439
Y1,1000,1,0.1,1.0948357744871768,0.9890894136138668
Y1,1000,1,0.01,4.433270991434702,0.9560263011020063
Y1,1000,1,0.001,32.36293369995967,0.6796026695298207
Y1,1000,2,0.1,0.1909320963300835,0.9981193867654209
Y1,1000,2,0.01,0.40804515605850095,0.9959725451475465
Y1,1000,2,0.001,22.36533316730246,0.7785968057110949
Y1,1000,3,0.1,0.14104091262349072,0.9986090796215356
Y1,1000,3,0.01,0.2381398805639512,0.9976531634890196
Y1,1000,3,0.001,18.214633258713437,0.8197326025943974
Y1,1000,5,0.1,0.1318425146099393,0.9986833561109811
Y1,1000,5,0.01,0.14935546607788613,0.9985248534348642
Y1,1000,5,0.001,15.674572332339357,0.8448670748578107
Y2,10,1,0.1,26.86183797989124,0.7010909959281272
Y2,10,1,0.01,77.51426455143545,0.1363090407333601
Y2,10,1,0.001,89.28707702914869,0.0048781177106487885
Y2,10,2,0.1,19.715654175110455,0.7804553814170407
Y2,10,2,0.01,76.26125967348864,0.1501636262061671
Y2,10,2,0.001,89.15523575177548,0.00633212389343416
Y2,10,3,0.1,16.987278818623302,0.8106517691907251
Y2,10,3,0.01,75.63612208569147,0.15701225064816243
Y2,10,3,0.001,89.08363832261632,0.007119527748034371
Y2,10,5,0.1,14.765761137531223,0.8354104043309816
Y2,10,5,0.01,75.31597600598826,0.16062119691816917
Y2,10,5,0.001,89.04745464968731,0.007526828304044298
Y2,50,1,0.1,9.221155670113799,0.8971989742975495
Y2,50,1,0.01,44.68085529710918,0.5026334743959989
Y2,50,1,0.001,83.81825037923474,0.0659352998318468
Y2,50,2,0.1,4.1573669976031455,0.9536778166288986
Y2,50,2,0.01,40.044981210098115,0.5539155905323961
Y2,50,2,0.001,83.1719012383442,0.07307712225921144
Y2,50,3,0.1,3.0325508930530773,0.9662368641674031
Y2,50,3,0.01,38.10755298569735,0.5752887653865344
Y2,50,3,0.001,82.83797722107889,0.0767381349303006
Y2,50,5,0.1,2.2107766243670097,0.9754338048108588
Y2,50,5,0.01,36.63723359356942,0.5916386403081193
Y2,50,5,0.001,82.66766780069118,0.07865653302215074
Y2,100,1,0.1,6.1934115201735045,0.930927268108886
Y2,100,1,0.01,27.765158496933132,0.6910464465530326
Y2,100,1,0.001,77.56794202856355,0.1357098607936607
Y2,100,2,0.1,2.8084962850771484,0.9687371125111242
Y2,100,2,0.01,20.790358713529898,0.7684568485032486
Y2,100,2,0.001,76.32400294362665,0.1494602585176435
Y2,100,3,0.1,2.3486355007651816,0.9739226669065151
Y2,100,3,0.01,18.131712035276063,0.7979222894728762
Y2,100,3,0.001,75.69931920685451,0.15630774003132006
Y2,100,5,0.1,1.2730747550332673,0.9858547331185331
Y2,100,5,0.01,15.897337649033924,0.8227977772224435
Y2,100,5,0.001,75.37816517169907,0.15992795040193505
Y2,500,1,0.1,3.3418883138510926,0.9627703847280896
Y2,500,1,0.01,9.535687091121488,0.8937104269627554
Y2,500,1,0.001,44.801509060396306,0.5012883468707623
Y2,500,2,0.1,2.335709211135744,0.9739938868717897
Y2,500,2,0.01,4.312045772602553,0.952003397972857
Y2,500,2,0.001,40.17930182467583,0.5524193171284428
Y2,500,3,0.1,1.2860293000811893,0.985719353808013
Y2,500,3,0.01,3.1134750402809717,0.9653402721713347
Y2,500,3,0.001,38.243671774977564,0.5737680884334688
Y2,500,5,0.1,0.48643262425911243,0.994607768730134
Y2,500,5,0.01,2.2943856193071133,0.9745278590293193
Y2,500,5,0.001,36.779048712823695,0.5900586822378877
Y2,1000,1,0.1,3.1402237740456647,0.9650140639721456
Y2,1000,1,0.01,6.308299028714958,0.9296416242101065
Y2,1000,1,0.001,27.854007859678084,0.6900583220445385
Y2,1000,2,0.1,2.3818586953505685,0.9734751152290869
Y2,1000,2,0.01,2.8217446835708695,0.9685696692352017
Y2,1000,2,0.001,20.896293995434696,0.7672767412595809
Y2,1000,3,0.1,1.0287400503644089,0.9885746277286579
Y2,1000,3,0.01,2.4280697700714056,0.9730109688824327
Y2,1000,3,0.001,18.23761236877755,0.796742213938619
Y2,1000,5,0.1,0.425248864466962,0.9952863806223986
Y2,1000,5,0.01,1.3197354433675035,0.9852710187286584
Y2,1000,5,0.001,16.00669824518685,0.8215776779305021
