n_estimators,max_depth,learning_rate,average_mse,average_r2
10,1,0.1,0.6999578139284299,0.2985662170230066
10,1,0.01,0.9508856603406814,0.04163303916015697
10,1,0.001,0.9953588506242095,-0.004579239529749724
10,2,0.1,0.6290941038219684,0.37290802615587804
10,2,0.01,0.9348534244680133,0.05772428237465717
10,2,0.001,0.9935243866356973,-0.002770548133129003
10,3,0.1,0.5709632763263848,0.4308833106514894
10,3,0.01,0.9182873363640385,0.07441018769881647
10,3,0.001,0.9916439503326464,-0.0008461115302852429
10,5,0.1,0.543585353902847,0.46046281569692404
10,5,0.01,0.9083187056537474,0.08516815806140823
10,5,0.001,0.9906947704629234,0.00018194260838002573
50,1,0.1,0.5118949009323026,0.4876630253935044
50,1,0.01,0.8031134776133193,0.19374419032683
50,1,0.001,0.9749416588001575,0.016678483763077078
50,2,0.1,0.4847005812141614,0.5153998141972036
50,2,0.01,0.7550052090843525,0.24244053898143814
50,2,0.001,0.9667412161385686,0.02474507282178593
50,3,0.1,0.4726183796497624,0.5235782357987506
50,3,0.01,0.7038501178770302,0.29487722514658377
50,3,0.001,0.9580711163138911,0.033490679103296214
50,5,0.1,0.45932968420785636,0.5364869754238678
50,5,0.01,0.6820615070516974,0.3189379778162874
50,5,0.001,0.9529463038390554,0.039004668287525024
100,1,0.1,0.4823582545385891,0.515278485590169
100,1,0.01,0.7056604145966298,0.29316442339037174
100,1,0.001,0.9509297742185234,0.04159603610275742
100,2,0.1,0.49466435083008947,0.5011465695263294
100,2,0.01,0.6327686945247832,0.3692133840900357
100,2,0.001,0.9353588169319847,0.05709659956614736
100,3,0.1,0.480845266927657,0.5124661557112108
100,3,0.01,0.5803976901144426,0.42178264164421186
100,3,0.001,0.9193318161898777,0.07343302677586623
100,5,0.1,0.45666586317950897,0.5393191973556558
100,5,0.01,0.5501952210966208,0.4540098311997388
100,5,0.001,0.9088984239158607,0.08450861217764001
500,1,0.1,0.4719731956612809,0.5191117620936464
500,1,0.01,0.5155359987555674,0.4841747241707135
500,1,0.001,0.8035955481011434,0.19321394993224317
500,2,0.1,0.5311882165254236,0.45118305401854375
500,2,0.01,0.48627637014391956,0.5127296984652123
500,2,0.001,0.7554898953587251,0.24196154112429472
500,3,0.1,0.49678455239620023,0.4889177817598684
500,3,0.01,0.46690441163740093,0.5313238762121567
500,3,0.001,0.7048860255986161,0.2937752243371217
500,5,0.1,0.4582037683183726,0.5366937098511528
500,5,0.01,0.46285491969061976,0.534756813610129
500,5,0.001,0.682328350940081,0.3184489781383063
1000,1,0.1,0.47417956700304886,0.5148057417740364
1000,1,0.01,0.4846276577679068,0.5132252016578148
1000,1,0.001,0.7066395078791031,0.2922317733048048
1000,2,0.1,0.5525674178391833,0.42376501382986503
1000,2,0.01,0.4939257194749552,0.5025398543156345
1000,2,0.001,0.6330481265567351,0.36881486846970296
1000,3,0.1,0.5008604292942718,0.4838113597674882
1000,3,0.01,0.46444463645018674,0.5313578375136151
1000,3,0.001,0.5808256060522577,0.42137121364295227
1000,5,0.1,0.4581996673755121,0.5366995167194081
1000,5,0.01,0.4608861422111408,0.5359663620364532
1000,5,0.001,0.5517835208845847,0.452323022258139
